Id,ConfigurationId,RawValue,Active,CUserId,CDateTime,Latest,LMUserId,LMDatetime,IpAddress
152,80,1,1,16,59:00.9,0,22,34:32.5,49.255.20.70
156,81,0,1,22,34:32.5,0,22,29:46.9,49.255.20.70
161,81,1,0,22,29:46.9,0,22,29:49.7,49.255.20.70
164,81,0,1,22,29:49.7,0,28,22:48.9,203.153.199.246
177,81,1,1,28,22:48.9,0,28,23:26.7,203.153.199.246
178,81,0,1,28,23:26.7,0,28,50:44.3,203.153.199.246
179,81,1,1,28,50:44.3,0,28,52:46.3,203.153.199.246
180,81,0,1,28,52:46.3,0,28,23:56.9,124.148.216.225
182,81,1,1,28,23:56.9,0,28,26:17.3,124.148.216.225
183,81,0,1,28,26:17.3,0,28,37:11.1,203.153.199.246
192,81,1,1,28,37:11.1,0,28,44:14.7,203.153.199.246
193,81,0,1,28,44:14.7,0,28,35:52.3,203.153.199.246
203,81,1,1,28,35:52.3,0,28,36:05.8,203.153.199.246
204,81,0,1,28,36:05.8,0,28,45:33.4,203.153.199.246
206,81,1,1,28,45:33.4,0,28,47:46.1,203.153.199.246
207,81,0,1,28,47:46.1,0,28,23:52.3,203.153.199.246
212,81,1,1,28,23:52.3,0,28,37:07.3,203.153.199.246
213,81,0,1,28,37:07.3,0,28,54:34.5,203.153.199.246
214,81,1,1,28,54:34.6,0,28,56:53.5,203.153.199.246
215,81,0,1,28,56:53.5,0,28,54:38.7,203.153.199.246
216,81,1,1,28,54:38.8,0,28,56:45.2,203.153.199.246
217,81,0,1,28,56:45.2,0,28,54:43.5,203.153.199.246
219,81,1,1,28,54:43.5,0,29,00:52.0,122.150.165.19
220,81,0,1,29,00:52.0,0,29,46:30.4,122.150.165.54
221,81,1,1,29,46:30.4,0,28,16:08.0,203.153.199.246
222,81,0,1,28,16:08.0,0,28,15:50.8,203.153.199.246
223,81,1,1,28,15:50.8,0,28,54:33.6,203.153.199.246
224,81,0,1,28,54:33.6,0,28,54:44.5,203.153.199.246
225,81,1,1,28,54:44.5,0,28,57:57.5,203.153.199.246
226,81,0,1,28,57:57.5,0,28,13:58.5,203.153.199.246
227,82,1,1,28,13:58.5,1,NULL,NULL,203.153.199.246
